square_feet,bedrooms,bathrooms,age_years,lot_size,garage_spaces,neighborhood_score,price
1998.5283803115599,4,3,31.170297907972007,7087.5226146136865,1,3.627200561480265,631796.6274789157
3842.285780511732,3,2,28.46886805911414,6794.416929115502,1,7.737478377236491,801830.7674066282
3142.380613796496,5,3,31.033023991229204,3434.848082313928,3,5.343411120953686,793120.042375284
2715.7071494305173,1,2,10.065605391121663,7641.113164564506,3,2.94428296353765,656420.2633461904
1299.259649415797,5,1,19.75688716321593,5641.375933869251,3,9.70544071333268,474898.59775732673
1299.1824650758485,1,3,1.972976644544966,7342.084732825223,2,7.4361251783519915,516159.40505818755
985.8675589382383,2,1,23.777301874341333,8698.936638161205,3,9.614213492858166,440867.7698721556
3571.7636664797924,1,3,27.151229197883158,3357.8274286153855,0,4.843945408243089,722108.7308669181
2723.568037578268,4,1,11.38748680516048,2153.1589439746936,1,5.275903066225484,642735.2579001036
3065.8322489473458,3,3,48.201442358275685,8232.820691166295,3,9.081596945665172,724313.4901796978
865.8703817465678,2,1,45.4727305468621,6877.579401220927,3,5.725444062208462,440756.71013503446
3903.711526918382,1,1,36.107161772795294,7597.116556976974,2,7.365510207151004,840353.9543575002
3463.8164505613495,5,3,26.66933143826813,8705.23979990914,2,3.2695558974597696,870775.326943332
1479.4851541704838,2,1,43.498457982384245,8422.487478596004,1,5.020538218323765,414843.38094855245
1381.839895062722,2,1,6.532617191173146,9687.361175430597,0,2.1110487922931958,506997.4656226674
1386.8944315309882,1,1,39.52548971374425,6287.480630816945,1,2.853820322892655,377026.83204436506
1773.5751774705207,2,3,6.241040698342415,5907.965061279243,3,1.0084907374086798,533986.5371624309
2479.2205812231614,5,3,39.71053312747027,5215.09759912584,0,1.3533854648379422,581201.707980686
2182.2240596547704,2,1,13.788378412567848,3229.528342753636,0,9.795554408592364,531984.0407104437
1731.9332486337341,5,1,43.85452905090945,6580.85786305618,0,3.181183256230861,310274.1373110545
2757.929263111614,1,3,47.202104691269895,4216.10019460783,0,6.969796385536018,571825.2059228427
1246.3803540865338,3,3,7.439798470255782,9370.460097703803,1,8.551897289196503,499117.73958997114
1734.8628753126982,2,1,23.133780253269677,6665.52643421678,2,5.955944133129078,565030.3557123228
1972.3578985398135,3,1,49.049368908134255,6742.721444064881,2,2.3783005007556057,473040.86744971806
2259.423949494515,5,1,24.17037179865733,4839.39728701608,3,7.553047936025497,562283.8904004028
3312.5630764576435,2,2,43.17737612572726,2415.91481582166,2,6.402262690896247,654206.163123484
1438.9561029067513,4,3,29.436576106565994,2253.950122983909,2,7.581255304126376,410109.9867202264
2445.550202923557,3,2,18.766495395980094,5386.68115322558,2,7.927719605713785,656475.3199930213
2695.726620358536,2,3,14.28917777629351,2676.5230247779027,2,9.778693309162707,670986.7025117602
948.6413207039927,3,3,10.161154554304364,6854.775644321113,3,6.16206952024039,504223.97459681664
2744.143526084603,2,3,38.08990956888486,9047.78404511726,1,4.074770014215416,601749.3107124422
1345.6771957993328,1,3,19.327025341151394,9063.318532149777,0,6.836181012102133,454712.02388101286
1008.1650975528944,3,3,25.56377311003756,7272.363281057859,2,1.6159663831836353,337649.593368024
3836.4337192106664,4,3,24.616274000059096,3689.8546517834484,1,9.076575864894277,878588.6748200234
3890.02250583859,4,3,28.863951461656562,8903.974650870976,2,2.074429102043771,896130.9239934101
3386.8715139726755,5,2,43.27885728122761,9088.747482505665,2,3.950585540972364,806903.6661147431
1774.7640613547862,2,1,49.03696717917147,3573.2286796236694,0,8.341708425635087,400662.4553371342
1112.5507648204284,3,1,20.379210428690847,7899.408686165418,0,6.375811404976407,432735.9822916583
2989.545684838902,5,2,41.37594610531515,4292.156391416984,0,4.542719682496979,741532.0782572894
2208.487979966724,3,2,38.22638973273588,8421.122498823437,2,5.260920934375193,561081.5343375464
1190.5223515032922,2,2,28.676447572778663,9977.903199228822,2,8.690926538819623,461391.381451827
2384.566112356065,4,2,47.80235718059666,2240.2080426351426,2,4.060039474539029,480476.1653321925
910.0432675686989,1,3,10.02372577642014,9178.926926327455,0,8.826847163309541,373969.4955823702
3709.8252866521025,4,1,5.46321051548107,6981.044268789265,3,1.7932098787902233,854214.5287033623
1628.0959411200542,5,3,42.69809834777111,9787.060953318569,1,7.991185934877676,606841.4110151354
2920.071309932742,1,1,21.957490831687416,5720.07614021142,3,8.627928697492628,646622.0785035351
1797.4754434861152,5,1,42.34844271035303,8779.10344457099,2,2.6363588755360485,509101.43345999514
2464.2176677689945,2,2,44.654510259770746,2499.1525487862177,2,4.873118791349804,499336.4868652002
2549.472893898495,1,3,3.122879680953572,4682.232400626366,3,2.4894979719729005,603707.1550467791
1391.5342576816865,5,2,44.17323814930303,2536.1323020096797,2,7.35943716094796,447290.7439639246
3902.6708088465875,2,3,22.415952768471108,9802.745067832564,1,5.818129912554911,787823.9337722139
3280.4250347555667,4,1,25.52162445021161,8535.791258174693,2,6.717910120374889,839014.9483298695
3806.396613005405,2,2,31.329625554660513,8820.379369967763,1,2.7683827026059005,757074.8331477237
3663.4475213684764,3,2,46.31913033650434,9503.721851471153,3,2.9057127584717755,822539.8241112403
2713.2799321954726,2,1,0.9558047214882015,2680.827888958283,3,1.3734759295891572,560256.1090541793
3749.997552073974,2,1,23.842173415890855,5084.7807401066675,2,3.8986078167615674,793598.1389914999
1083.1760065661424,3,1,34.38610212152803,2568.279112352017,1,6.037701952003075,368172.72801612574
1427.1451597412647,5,2,36.135347884911425,3686.344812400229,2,8.721414225975959,491481.70104554365
944.7273245137218,5,3,34.6266215768554,3834.926216301379,0,7.002347027128127,341095.4267320123
1841.0570584424459,2,2,6.721756470406093,5752.857688380629,0,4.918566910597763,527313.8667422537
2043.7673270063424,3,3,14.96977941858406,4148.497339629141,0,9.57808102954724,511848.1095210914
1668.3169016764668,3,2,17.935776270850674,2807.824854542089,0,7.473206805182487,457182.1025262928
3451.9600292861737,4,2,40.22186038397525,3339.9287127528614,2,9.37148682576295,799077.6599290852
